altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
71.16,101.75780463242701,76.37,1.0,60.130149841308594,24.515304565429688,1004.731359224597,,2026-01-27T15:33:22Z,0.0,-0.2,2.8000000000000003,1.0
66.46,99.5758643840215,71.67,1.0,60.130149841308594,24.515302658081055,1005.2920844291949,,2026-01-27T15:33:23Z,0.0,-0.2,1.6,1.0
65.01,98.06529036589461,70.22,1.0,60.13014221191406,24.51529884338379,1005.4656422306182,,2026-01-27T15:33:24Z,-0.2,0.0,1.2000000000000002,1.0
64.56,96.89039946290704,69.77,1.0,60.13014221191406,24.515296936035156,1005.5190446310561,,2026-01-27T15:33:25Z,0.0,0.0,0.8,1.0
63.0,95.88335011748912,68.21,1.0,60.13014221191406,24.515296936035156,1005.7059530325887,,2026-01-27T15:33:26Z,0.0,0.0,1.0,1.0
62.21,95.2119838872105,67.42,1.0,60.13014221191406,24.515295028686523,1005.799407233355,,2026-01-27T15:33:27Z,0.0,0.0,0.2,1.0
60.76,95.04414232964083,65.97,1.0,60.13014221191406,24.515296936035156,1005.9729650347782,,2026-01-27T15:33:28Z,0.0,0.0,0.0,1.0
60.65,95.04414232964083,65.86,1.0,60.13014221191406,24.515296936035156,1005.9863156348877,,2026-01-27T15:33:29Z,0.0,0.0,0.0,1.0
60.65,95.04414232964083,65.86,1.0,60.130149841308594,24.51527976989746,1005.9863156348877,,2026-01-27T15:33:30Z,-1.2000000000000002,0.8,0.0,1.0
60.09,94.87630077207119,65.3,1.0,60.130165100097656,24.515233993530273,1006.053068635435,,2026-01-27T15:33:31Z,-3.4000000000000004,2.0,0.0,1.0
60.76,94.87630077207119,65.97,1.0,60.130184173583984,24.515161514282227,1005.9729650347782,,2026-01-27T15:33:32Z,-4.2,2.6,0.0,1.0
60.65,94.87630077207119,65.86,1.0,60.13020706176758,24.51508331298828,1005.9863156348877,,2026-01-27T15:33:33Z,-4.0,2.6,0.0,1.0
60.65,94.87630077207119,65.86,1.0,60.13023376464844,24.5150089263916,1005.9863156348877,,2026-01-27T15:33:34Z,-4.0,2.6,0.0,1.0
60.65,94.70845921450153,65.86,1.0,60.1302604675293,24.51493263244629,1005.9863156348877,,2026-01-27T15:33:35Z,-4.2,2.6,0.0,1.0
